total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
943,1000,1000,0,9,0.492,6,0.455
1000,964,964,0,7,0.2361183186299948,5,0.2676348547717842
985,1000,1000,0,16,1.1365,11,0.918
1001,975,975,0,7,0.31298101590559263,1001,2.3425641025641024
997,1000,1000,0,7,0.3785,997,2.387
1000,974,974,0,5,0.35303186022610483,5,0.3921971252566735
1000,940,940,0,5,0.28936170212765955,1000,1.3808510638297873
1000,990,990,0,9,0.42719919110212334,4,0.40606060606060607
995,1000,1000,0,8,0.4205,995,2.406
1000,938,939,0,5,0.2592,1000,1.3578274760383386
971,1000,1000,0,10,0.42,971,1.397
993,1000,1000,0,7,0.3585,4,0.374
1000,939,939,0,7,0.31166755460841766,1000,1.4057507987220448
1000,961,965,0,4,0.19542619542619544,1000,1.2652849740932643
1000,1000,1000,0,7,0.31431431431431434,1000,1.328
1000,1000,1000,0,6,0.32,1000,1.31
988,1000,1000,0,8,0.4115,6,0.415
1002,987,987,0,12,0.6624429802331475,1002,1.618034447821682
919,1000,1000,0,16,1.002,10,0.799
1000,999,1000,0,7,0.37055583375062595,1000,1.36
1001,990,990,0,7,0.2871587462082912,4,0.28484848484848485
1001,974,974,0,6,0.2936344969199179,4,0.32238193018480493
1000,949,949,0,7,0.3247232472324723,3,0.3150684931506849
1000,989,989,0,9,0.3024785027819929,5,0.2942366026289181
1000,987,987,0,13,0.5585402939685757,5,0.46707193515704154
1000,976,977,0,8,0.2936955407483342,4,0.28863868986693964
1000,957,957,0,5,0.290491118077325,1000,1.3646812957157786
995,1000,1000,0,7,0.3415,5,0.345
971,1000,1000,0,8,0.3305,4,0.326
1003,992,992,0,7,0.40877016129032256,1003,1.3699596774193548
