total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
2257.082810412983,1000,1000,0,2,0.033,3.1296708968486655,0.04424515885429659
2251.0356729597283,1000,1000,0,2,0.022,3.078088023907185,0.028646480041135177
2219.7469742511375,1000,1000,0,2,0.0265,2.9654891878822127,0.03401413490773047
2244.7575303096246,1000,1000,0,2,0.019,2.0615249262179987,0.023451008223588473
2279.421571103911,1000,1000,0,1,0.013,1.4836353043492636,0.011890152287430936
2281.2428647419965,1000,1000,0,3,0.032,4.311285899084396,0.042528372433296775
2261.672957192335,1000,1000,0,2,0.028,2.6693775275371365,0.041187149664282864
2210.1930225719652,1000,1000,0,3,0.04,4.256920392000666,0.05343976170196716
2235.3556938946726,1000,1000,0,3,0.0375,3.1507276694627535,0.050776076499859546
2238.1481334029627,1000,1000,0,2,0.0225,2.8263512494786482,0.02914881144418618
2251.9873841839003,1000,1000,0,2,0.0205,3.6255827760517434,0.02893733264882372
2333.3849998285004,1000,1000,0,1,0.0085,1.8557313187286582,0.009500555618471343
2256.0592483005544,1000,1000,0,2,0.0165,3.7815792463600246,0.020229920750164977
2242.1716332064348,1000,1000,0,4,0.034,5.99583120444936,0.04471691497131118
2289.3114218436635,1000,1000,0,2,0.0275,3.5149673079677086,0.03876402728707095
2233.017741365378,1000,1000,0,3,0.0405,3.503272964536791,0.04794404814870539
2223.412717294028,1000,1000,0,3,0.0245,3.969899938641902,0.03730334316540694
2220.9159594026355,1000,1000,0,3,0.0255,2.994086661363127,0.028551927831334895
2217.825833285857,1000,1000,0,3,0.025,2.926133609115112,0.03647606475979944
2237.70670288609,1000,1000,0,2,0.0245,1.6991824824831383,0.028671992143147213
2279.820642786632,1000,1000,0,2,0.018,1.5384122947461947,0.017987793154793565
2270.7708330011346,1000,1000,0,3,0.024,3.9572226576847243,0.033172426411592425
2169.1563293457466,1000,1000,0,2,0.029,4.178379434623594,0.03488883215049444
2279.0537426188394,1000,1000,0,2,0.0125,1.4568182355928911,0.014246418835673524
2250.4921775112653,1000,1000,0,2,0.0245,2.529764044661988,0.030434692464349076
2235.7396523204698,1000,1000,0,2,0.0305,2.512083240318816,0.030904849360993362
2202.102282463153,1000,1000,0,2,0.0255,2.636446059543573,0.02675128356912204
2279.964534214727,1000,1000,0,2,0.0155,2.4580982588569213,0.017407956805398767
2240.7646422115204,1000,1000,0,2,0.021,1.9628756349719367,0.025349144725325415
2264.505844229985,1000,1000,0,2,0.0255,3.6517724690779687,0.03204846213752401
