total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
2984.9896719302806,1000,1000,0,4,0.138,7.302899382260421,0.25157992872315876
2910.153839021103,1000,1000,0,3,0.1425,4.624330524128709,0.20113665348848428
2984.4127597452666,1000,1000,0,3,0.1445,6.763228612628055,0.26359442484119416
2995.3536555933883,1000,1000,0,3,0.126,8.833442192903476,0.22049031337165687
3035.6953070934874,1000,1000,0,4,0.132,7.315685029657288,0.20078027605958054
3032.172208067252,1000,1000,0,4,0.12,7.235737640020034,0.21075786245047112
2973.1432440935837,1000,1000,0,3,0.1175,4.627950349205548,0.18053830773977947
3014.0084834489007,1000,1000,0,4,0.1505,7.99434560247164,0.24626224116662027
3065.674135984794,1000,1000,0,4,0.149,6.238406269107372,0.25722557937952595
3028.1934307133515,1000,1000,0,3,0.1165,6.189028057757582,0.1824259664593028
3038.579071834465,1000,1000,0,4,0.1615,8.396591458464513,0.29943252335959564
3020.660231285508,1000,1000,0,3,0.1065,6.119003974931729,0.19080449728327828
2944.2116255671344,1000,1000,0,4,0.138,7.38330689394661,0.22949669457328545
2915.231513675786,1000,1000,0,4,0.142,6.013400324194151,0.22425058294973566
3048.6545976750476,1000,1000,0,3,0.115,5.168545912434638,0.19707952307129672
3037.2743419706576,1000,1000,0,5,0.161,10.131539224156256,0.30840238025680683
2986.737025042148,1000,1000,0,3,0.129,5.065917548465222,0.21805090520707887
2961.9745427029607,1000,1000,0,5,0.156,8.213085571608246,0.26209170033546714
2967.176596220665,1000,1000,0,3,0.1035,5.1467968483327695,0.18184668468036067
3052.055273699673,1000,1000,0,3,0.1385,6.786039353016804,0.24221870190172176
3015.474109423652,1000,1000,0,4,0.152,7.112748361361355,0.2618311317651952
3025.4653794132173,1000,1000,0,5,0.1365,6.209297801376579,0.23476216822888057
2907.3029538526885,1000,1000,0,3,0.139,4.879761468325114,0.23640096634510388
3065.17574287932,1000,1000,0,5,0.143,5.668910813008779,0.2412343797344913
2974.6831211053345,1000,1000,0,6,0.1625,6.084191805035516,0.27269990389233145
3102.087116996306,1000,1000,0,5,0.1495,8.519060197878616,0.24386382842294865
3045.1322413408757,1000,1000,0,3,0.127,6.042784468971718,0.19568582371481358
3069.5931716771815,1000,1000,0,3,0.1175,4.866173503618938,0.1923104359377745
2979.8596168480076,1000,1000,0,4,0.1405,6.018941016165172,0.2558846075122734
3066.224383675885,1000,1000,0,3,0.1305,5.267397196509137,0.20547228209761864
