total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
10000,9907,9907,0,10,0.39186392772422146,10000,3.4088018572726355
9994,10000,10000,0,15,0.4668,10,0.4375
10000,9970,9970,0,15,0.43592958523496667,9,0.421765295887663
9999,10000,10000,0,11,0.41,9999,1.4098
10000,9892,9892,0,12,0.37333198544278207,10000,1.381318236959159
10000,9882,9882,0,8,0.37443707939078075,6,0.36814410038453754
9878,10000,10000,0,9,0.4122,9,0.4025
9939,10000,10000,0,14,0.41765,10,0.4012
10000,9957,9957,0,10,0.3504243459046854,10000,1.3511097720196847
10001,9970,9970,0,12,0.3821656050955414,10001,1.3752256770310933
10000,9886,9886,0,11,0.40835524984827026,7,0.4026906736799514
9898,10000,10000,0,11,0.36795,6,0.3732
9797,10000,10000,0,15,0.47965,9797,1.4246
10001,9844,9844,0,12,0.37984456748107887,8,0.36275904104022755
10001,9993,9993,0,12,0.3746497197758207,10001,1.3742619833883718
9952,10000,10000,0,10,0.4242,8,0.4263
9891,10000,10000,0,16,0.4493,9891,1.3994
9989,10000,10000,0,11,0.36435,8,0.3639
10000,9975,9975,0,11,0.41829573934837094,7,0.4139348370927318
10003,9871,9871,0,11,0.41857048781723316,10003,1.4118123796981055
9915,10000,10000,0,14,0.4787,8,0.4491
10001,9997,9997,0,9,0.3506551965589677,10001,2.3523056917075125
9962,10000,10000,0,12,0.43465,9,0.4204
10000,9989,9989,0,9,0.4072683586124043,8,0.3981379517469216
10000,9963,9963,0,10,0.38740276035131743,9,0.3872327612165011
10001,9889,9889,0,11,0.4235728371340446,8,0.4110627970472242
9860,10000,10000,0,11,0.4168,8,0.399
9989,10000,10000,0,13,0.39275,7,0.3831
10000,9800,9800,0,14,0.35797744782897084,8,0.3494897959183674
9953,10000,10000,0,12,0.426,9953,1.4105
