total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
10000,3363,3363,0,2,0.002379182156133829,2,0.0053523639607493305
10000,3307,3307,0,2,0.004082249773208346,2,0.007862110674327185
10000,3312,3312,0,2,0.00392512077294686,2,0.008152173913043478
10001,3286,3286,0,2,0.003348044437680718,1,0.006086427267194157
10001,3355,3355,0,1,0.0022358026531524816,2,0.005663189269746647
10003,3372,3372,0,1,0.0023728310840872013,2,0.005338078291814947
10003,3388,3388,0,3,0.006937269372693727,2,0.00974025974025974
10001,3304,3304,0,2,0.0018162554866051157,2,0.0033292978208232446
10001,3344,3344,0,1,0.0016449828024525197,2,0.0035885167464114833
10000,3302,3302,0,1,0.0024227740763173833,2,0.00514839491217444
10001,3348,3348,0,2,0.0034353995519044063,2,0.005675029868578256
10000,3381,3381,0,1,0.0029577048210588583,2,0.006211180124223602
10001,3395,3395,0,1,0.002209456473707468,1,0.004418262150220913
10000,3360,3360,0,2,0.001488316713796696,2,0.002976190476190476
10000,3345,3345,0,2,0.0028404843773359245,2,0.005680119581464873
10000,3354,3354,0,1,0.001937984496124031,2,0.0041741204531902205
10000,3399,3399,0,2,0.003089598352214212,2,0.00529567519858782
10001,3328,3328,0,1,0.002704326923076923,2,0.005709134615384615
10002,3388,3388,0,1,0.001918819188191882,2,0.004427390791027155
10003,3351,3351,0,1,0.0037307864497836143,2,0.00925096985974336
10001,3353,3353,0,2,0.0028332836266030423,4,0.006859528780196839
10000,3308,3308,0,2,0.0015117157974300832,2,0.0036275695284159614
10000,3290,3290,0,3,0.004559270516717325,3,0.00851063829787234
10001,3319,3319,0,2,0.0019587162874792827,2,0.004218137993371497
10001,3351,3351,0,1,0.0023877033278615132,2,0.00507311250373023
10001,3281,3281,0,1,0.002133821063862216,2,0.004571776897287412
10005,3277,3277,0,1,0.002441629787883412,2,0.00549282880683552
10001,3335,3335,0,2,0.004047976011994003,2,0.008695652173913044
10001,3304,3304,0,2,0.0042379294687452706,2,0.008171912832929782
10000,3367,3367,0,2,0.0019305019305019305,2,0.003564003564003564
