total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
10004.046710645374,5053,5053,0,6,0.08164275111331024,4.8051271303438625,0.07074745384508495
10000.125948258621,4828,4828,0,5,0.07975968510461985,3.9232655941341363,0.06994970969270234
10001.169196321265,4871,4871,0,5,0.07381172364233651,3.5824529984683977,0.06208692290452083
10000.559819039556,4884,4884,0,4,0.07208683186565636,4.575224844651075,0.06327225087999803
10000.761052276088,5060,5060,0,5,0.10544520209506868,3.080431112088263,0.0815421141140435
10000.23472856946,5044,5044,0,4,0.09566769108753842,3.8496810265332897,0.0721631921294279
10004.479837639494,5102,5102,0,4,0.07272370871312359,3.486096515985082,0.062193737828410894
10003.151969739685,5168,5168,0,5,0.08214804063860667,2.7556538779736,0.06455737213413257
10001.618043115941,4934,4934,0,5,0.08067295023816763,2.9416948535890697,0.06682885051781048
10001.854700904874,5075,5075,0,4,0.08562419942851512,3.9979640263718466,0.0666861284693057
10000.39512017155,4884,4884,0,5,0.08764205999795228,3.1691435987847854,0.07166964295689801
10003.191628446919,4959,4959,0,4,0.07643440556619946,3.7278187908026723,0.07015306068410768
10007.921589493144,4911,4911,0,5,0.0746359841156705,3.9547302216760727,0.0629003599487954
10000.722484912876,5044,5044,0,5,0.09228786677240286,3.522743796857867,0.07289053621016127
10000.721121419878,4994,4994,0,6,0.09090909090909091,4.230784264552085,0.07819917847435924
10002.014906434404,5026,5026,0,4,0.07551487414187644,4.0448660435495185,0.06874453905109838
10000.165697938666,5060,5060,0,5,0.09179841897233201,3.463217817747136,0.07946755466917609
10001.595678210972,4947,4947,0,5,0.08137066612756494,4.460683972106381,0.06996166279676913
10000.289544915175,5093,5093,0,5,0.09356897398134512,3.148214476661451,0.07627187354879632
10000.71308735521,4925,4925,0,4,0.09707554833468725,3.0805719269228575,0.08000252869773629
10001.054128935246,5076,5076,0,5,0.10215742291399862,3.4064357671595644,0.08232757058262682
10001.51983009388,5105,5105,0,5,0.09451518119490696,3.373950685760974,0.08004632316720171
10002.258583039127,5080,5080,0,4,0.09399606299212598,2.9781956245878973,0.07841565819478777
10001.752343365926,5049,5049,0,4,0.08834307219966327,3.176677134041711,0.07359485383360923
10001.241749915915,5023,5023,0,4,0.08193130910900946,3.4438912838945726,0.06505731564773361
10001.206873409052,4881,4881,0,5,0.07386538264522077,2.711969964331729,0.0600205955369385
10000.116085969372,5040,5040,0,6,0.11241194562952674,3.6507001126738032,0.09227507543329332
10000.23323026753,5027,5027,0,5,0.07480354123147319,2.928955941488198,0.0637555654304494
10001.592182252602,5063,5063,0,4,0.08276543209876543,3.2887173880699265,0.07167114398297952
10000.254344840025,4972,4972,0,4,0.07493462080064374,4.803887222039521,0.06475772742355408
