total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
10000.15783943919,4968,4969,0,8,0.22244589833920483,7.227852351231377,0.24009977444179154
10000.152191137942,5055,5055,0,7,0.24324859036502128,8.555778099628697,0.2626158002630062
10001.080742572547,4924,4924,0,7,0.23387833858027826,6.615714851608573,0.24759060811527767
10000.521300959814,4904,4904,0,7,0.20821861935352298,6.105836848087165,0.2230161466975588
10000.804789315585,4919,4919,0,7,0.21124326522313713,8.303946434407408,0.2263649825387076
10005.512175218608,5018,5018,0,7,0.2428500249128052,6.311959164642758,0.2618737077109949
10000.468270841126,4959,4959,0,5,0.19340526368861552,5.200480079590534,0.2007676570103657
10000.623965823883,5055,5058,0,7,0.24537632281673424,6.799818593594409,0.2682265448554139
10001.113825724162,4968,4968,0,9,0.21540010065425264,6.701535738877283,0.21609564814293367
10001.116097559312,4982,4982,0,6,0.1951219512195122,5.0751983156606,0.21160477076780226
10000.321472527978,5001,5001,0,6,0.23115376924615078,6.963760881404596,0.24499760811672555
10000.01465415489,5018,5018,0,6,0.21247757624078134,6.576471864673749,0.2285447147382731
10000.012946759829,5150,5150,0,6,0.21662297310418488,7.815174145873698,0.23128186428047334
10002.549408633728,5010,5010,0,11,0.2286655354825831,9.77232402462505,0.24726230096475765
10000.186261271183,5055,5055,0,6,0.23078444950044516,7.230052070834972,0.24583630241663912
10002.404745530514,5155,5155,0,7,0.24667766029682803,7.893139720005024,0.26850887175403093
10000.541078955588,5056,5056,0,9,0.27145965189873417,8.582413979342732,0.27961346840947965
10000.286584486097,4975,4975,0,8,0.206875753920386,7.022837716067443,0.22338016052516327
10000.181104393483,4905,4905,0,7,0.20289559543230015,5.9293340604190234,0.21766038827404335
10000.163713396889,4990,4990,0,6,0.22567391522196614,7.960302146344475,0.24098512334210961
10000.609280301229,4858,4858,0,5,0.17817807514153372,5.687123091062858,0.1918962998963542
10002.219254503689,5136,5136,0,6,0.24204069710836335,6.288196899996365,0.2618450740294598
10000.745982382514,5019,5019,0,8,0.24858025306366444,8.054296632979458,0.2563886929777844
10000.213521339057,4973,4973,0,6,0.18051086082059534,5.6100453093868055,0.18780606872845018
10001.082788818,5031,5031,0,8,0.2294006559984097,7.319445583683773,0.24787206100922882
10000.220088475491,4974,4974,0,7,0.22046848295968632,8.92164253016108,0.233197499178882
10002.952312132435,4990,4990,0,7,0.2200621304739954,5.945884986326746,0.23073311622294226
10000.545820744834,5010,5010,0,9,0.23575207106497653,10.830682627017268,0.2582809494725473
10000.354810026687,5134,5134,0,8,0.2488555566377715,10.499320388412343,0.2581829385819606
10000.008132796896,5060,5060,0,7,0.20928853754940713,6.218135966208138,0.23197447127485823
