total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
1000,983,984,0,5,0.2010178117048346,3,0.21138211382113822
987,1000,1000,0,12,0.5225,987,1.445
950,1000,1000,0,10,0.6045,7,0.551
943,1000,1000,0,7,0.3895,943,1.319
1000,993,993,0,6,0.33904282115869017,6,0.38972809667673713
1000,967,967,0,6,0.30952380952380953,5,0.3154084798345398
968,1000,1000,0,7,0.403,968,1.385
1000,995,995,0,7,0.37286432160804023,5,0.3658291457286432
954,1000,1000,0,7,0.409,6,0.423
1000,985,985,0,8,0.39390862944162436,7,0.42741116751269037
1002,968,968,0,7,0.31421188630490954,1002,3.46900826446281
986,1000,1000,0,9,0.4125,986,1.389
1002,966,966,0,9,0.38529259451061626,1002,3.5165631469979295
954,1000,1000,0,6,0.353,954,2.274
971,1000,1000,0,7,0.375,971,2.352
1001,974,974,0,6,0.3549049820236261,1001,1.4034907597535935
1000,955,955,0,7,0.3535882661079099,7,0.3612565445026178
987,1000,1000,0,7,0.4695,5,0.441
1000,977,977,0,7,0.3876088069636457,5,0.37871033776867963
975,1000,1000,0,11,0.488,6,0.477
973,1000,1000,0,7,0.342,4,0.332
949,1000,1000,0,13,0.643,949,1.508
950,1000,1000,0,10,0.417,950,4.216
1000,956,956,0,5,0.23129251700680273,1000,1.3190376569037656
1000,980,980,0,8,0.3881511746680286,5,0.4
1000,975,975,0,7,0.3427398665982555,1000,2.4133333333333336
1000,972,972,0,8,0.43975283213182287,1000,1.448559670781893
1000,966,966,0,8,0.4013464526152253,1000,2.4472049689440993
957,1000,1000,0,8,0.334,4,0.31
998,1000,1000,0,8,0.312,998,1.332
