total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
10000,3332,3332,0,3,0.005402160864345739,3,0.008103241296518607
10001,3368,3368,0,1,0.002524127691165553,1,0.005047505938242281
10000,3382,3382,0,1,0.004288037853023806,10000,2.9659964518036666
10000,3297,3297,0,1,0.002578492340360989,2,0.005762814680012132
10000,3344,3344,0,2,0.002841333931508898,2,0.005382775119617225
10000,3354,3354,0,1,0.0029824038174768863,2,0.00655933214072749
10000,3295,3295,0,1,0.0024279210925644916,2,0.005159332321699545
10003,3334,3334,0,2,0.00359982000899955,3,0.007798440311937612
10000,3307,3307,0,1,0.002721499848805564,2,0.005745388569700635
10001,3299,3299,0,3,0.0043966040024257125,2,0.006668687481054865
10001,3331,3331,0,1,0.0018015313016063654,2,0.004202942059441609
10000,3348,3348,0,1,0.002539208364451083,1,0.005077658303464755
10001,3385,3385,0,2,0.0028069138720638203,2,0.005612998522895126
10000,3340,3340,0,2,0.0026950142236861806,2,0.005389221556886228
10004,3362,3362,0,2,0.0019336605681987207,3,0.004164187983343248
10001,3342,3342,0,1,0.002244500972617088,2,0.005086774386594853
10000,3435,3435,0,1,0.0033478893740902477,2,0.00727802037845706
10000,3367,3367,0,2,0.0020793108569731175,2,0.004158004158004158
10002,3334,3334,0,2,0.0019499025048747563,1,0.0032993401319736052
10000,3323,3323,0,1,0.0031597953656334636,1,0.006319590731266927
10000,3346,3346,0,1,0.0034369396294082486,2,0.007172743574417215
10000,3316,3316,0,2,0.0034690799396681748,2,0.007237635705669481
10001,3329,3329,0,1,0.0019528316058284513,2,0.005707419645539201
10000,3362,3362,0,2,0.0022311468094600626,2,0.00446162998215348
10002,3349,3349,0,2,0.00283709123488129,2,0.005374738727978501
10000,3243,3243,0,1,0.002312673450508788,2,0.006167129201356768
10001,3324,3324,0,2,0.0030088761847449977,2,0.005415162454873646
10000,3319,3319,0,1,0.0024107277384360403,10000,3.0177764386863513
10000,3340,3340,0,1,0.0034436292858212305,2,0.007784431137724551
10001,3277,3277,0,1,0.0021364260643979855,1,0.0042722001830942935
