total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
1000,321,321,0,1,0.0015600624024961,1,0.003115264797507788
1000,327,327,0,1,0.004594180704441042,2,0.012232415902140673
1002,358,358,0,0,0.0,0,0.0
1001,330,330,0,1,0.004552352048558422,2,0.012121212121212121
1000,340,340,0,0,0.0,0,0.0
1000,340,340,0,1,0.0029411764705882353,1,0.0058823529411764705
1000,345,345,0,1,0.001451378809869376,1,0.002898550724637681
1000,329,329,0,0,0.0,0,0.0
1001,327,327,0,2,0.009188361408882083,2,0.01834862385321101
1000,321,321,0,1,0.0015600624024961,1,0.003115264797507788
1000,340,340,0,3,0.013235294117647059,1,0.008823529411764706
1000,317,317,0,1,0.004739336492890996,1,0.00946372239747634
1000,314,314,0,1,0.003189792663476874,1,0.006369426751592357
1003,356,356,0,1,0.0028129395218002813,1,0.0056179775280898875
1002,352,352,0,1,0.005689900426742532,1,0.011363636363636364
1000,345,345,0,1,0.0029069767441860465,1,0.005797101449275362
1001,346,346,0,1,0.001447178002894356,1,0.002890173410404624
1000,347,347,0,1,0.002881844380403458,1,0.005763688760806916
1002,329,329,0,1,0.0015220700152207,1002,3.048632218844985
1000,345,345,0,1,0.0043541364296081275,2,0.011594202898550725
1002,321,321,0,1,0.0015600624024961,1,0.003115264797507788
1001,358,358,0,1,0.004189944134078212,1,0.008379888268156424
1003,343,343,0,1,0.0072992700729927005,1,0.014577259475218658
1000,332,332,0,1,0.0015060240963855422,1,0.0030120481927710845
1000,322,322,0,1,0.0015527950310559005,1,0.003105590062111801
1001,348,348,0,1,0.0014388489208633094,1,0.0028735632183908046
1001,326,326,0,2,0.007680491551459293,1,0.009202453987730062
1000,327,327,0,1,0.0030627871362940277,2,0.009174311926605505
1000,326,326,0,2,0.006134969325153374,1,0.006134969325153374
1001,325,325,0,1,0.0015408320493066256,1,0.003076923076923077
